identifier,title,date,creator,venue,url
ajc01574_straight-legged-kick-1999-11-20,Straight Legged Kick Live at Fireside Bowl 1999-11-20,11/20/99,Straight Legged Kick,Fireside Bowl,https://archive.org/details/ajc01574_straight-legged-kick-1999-11-20
ajc01575_the-lawrence-arms-1999-11-20,The Lawrence Arms Live at Fireside Bowl 1999-11-20,11/20/99,The Lawrence Arms,Fireside Bowl,https://archive.org/details/ajc01575_the-lawrence-arms-1999-11-20
ajc01576_hirudin_2005-03-06,Hirudin Live at Bottom Lounge 2005-03-06,3/6/05,Hirudin,Bottom Lounge 2005-03-06,https://archive.org/details/ajc01576_hirudin_2005-03-06
ajc01577_russian_circles_2005-03-06,Russian Circles Live at Bottom Lounge 2005-03-06,3/6/05,Russian Circles,Bottom Lounge 2005-03-06,https://archive.org/details/ajc01577_russian_circles_2005-03-06
ajc01578_matttiegler2002-10-19,Matt Tiegler Live at Uncommon Ground 2002-10-19,10/19/02,Matt Tiegler,Uncommon Ground 2002-10-19,https://archive.org/details/ajc01578_matttiegler2002-10-19
ajc01579_tommi_zender_2002-10-19,Tommi Zender and Friends Live at Uncommon Ground 2002-10-19,10/19/02,Tommi Zender and Friends,Uncommon Ground,https://archive.org/details/ajc01579_tommi_zender_2002-10-19
ajc01580_ellenrosner2002-10-19,Ellen Rosner Live at Uncommon Ground 2002-10-19,10/19/02,Ellen Rosner,Uncommon Ground 2002-10-19,https://archive.org/details/ajc01580_ellenrosner2002-10-19
ajc01581_pepiginsberg2009-11-04,Pepi Ginsberg Live at Schubas Tavern 2009-11-04,11/14/09,Pepi Ginsberg,Schubas Tavern,https://archive.org/details/ajc01581_pepiginsberg2009-11-04
ajc01582_generationals-2009-11-04,Generationals Live at Schubas Tavern 2009-11-04,11/4/09,Generationals,Schubas Tavern,https://archive.org/details/ajc01582_generationals-2009-11-04
ajc01583_gemini_club_2010-01-14,Gemini Club Live at Lincoln Hall 2010-01-14,1/14/10,Gemini Club,Lincoln Hall 2010-01-14,https://archive.org/details/ajc01583_gemini_club_2010-01-14
ajc01584_solid-gold-2010-01-14,Solid Gold Live at Lincoln Hall 2010-01-14,1/14/10,Solid Gold,Lincoln Hall 2010-01-14,https://archive.org/details/ajc01584_solid-gold-2010-01-14
ajc01585_blisters_2007-01-14,The Blisters Live at Schubas Tavern 2007-01-14,1/14/07,The Blisters,Schubas Tavern,https://archive.org/details/ajc01585_blisters_2007-01-14
ajc01586_paul-green-schoolof-rock-all-stars-2007-01-14,Paul Green School of Rock All Stars Live at Schubas Tavern 2007-01-14,1/14/07,Paul Green School of Rock All‐Stars,Schubas Tavern,https://archive.org/details/ajc01586_paul-green-schoolof-rock-all-stars-2007-01-14
ajc01587_tigercity_2007-01-13,Tigercity Live at Schubas Tavern 2007-01-13,1/13/07,Tigercity,Schubas Tavern,https://archive.org/details/ajc01587_tigercity_2007-01-13
ajc01588_office_2007-01-13,Office Live at Schubas Tavern 2007-01-13,1/13/07,Office,Schubas Tavern,https://archive.org/details/ajc01588_office_2007-01-13
ajc01589_all-smiles-2007-01-13,All Smiles Live at Schubas Tavern 2007-01-13,1/13/07,All Smiles,Schubas Tavern,https://archive.org/details/ajc01589_all-smiles-2007-01-13
